iter	Passed	Remaining
603	28158	18461
604	28203	18413
605	28240	18361
606	28293	18318
607	28339	18271
608	28381	18221
609	28422	18171
610	28461	18120
611	28502	18069
612	28551	18024
613	28603	17982
614	28644	17931
615	28688	17883
616	28741	17841
617	28784	17792
618	28831	17746
619	28872	17696
620	28918	17648
621	28970	17605
622	29006	17553
623	29050	17504
624	29094	17456
625	29152	17417
626	29196	17368
627	29234	17317
628	29288	17274
629	29332	17227
630	29382	17182
631	29417	17129
632	29456	17078
633	29503	17031
634	29556	16988
635	29597	16939
636	29647	16895
637	29703	16853
638	29748	16806
639	29785	16754
640	29830	16706
641	29873	16658
642	29924	16614
643	29976	16570
644	30014	16519
645	30061	16473
646	30097	16420
647	30140	16372
648	30177	16320
649	30227	16276
650	30275	16230
651	30317	16181
652	30360	16133
653	30407	16087
654	30453	16040
655	30499	15993
656	30548	15948
657	30584	15896
658	30632	15850
659	30679	15804
660	30726	15758
661	30776	15713
662	30822	15667
663	30873	15622
664	30915	15573
665	30967	15530
666	31018	15486
667	31052	15433
668	31095	15384
669	31135	15335
670	31172	15284
671	31217	15237
672	31273	15195
673	31326	15151
674	31370	15104
675	31420	15059
676	31469	15014
677	31514	14966
678	31562	14921
679	31604	14872
680	31647	14824
681	31689	14776
682	31732	14727
683	31778	14681
684	31824	14634
685	31870	14587
686	31915	14540
687	31955	14491
688	31995	14442
689	32040	14395
690	32078	14344
691	32127	14299
692	32166	14250
693	32214	14204
694	32258	14156
695	32303	14109
696	32347	14062
697	32389	14013
698	32441	13969
699	32484	13921
700	32531	13875
701	32578	13829
702	32627	13784
703	32671	13736
704	32727	13694
705	32773	13647
706	32821	13602
707	32864	13554
708	32912	13508
709	32948	13457
710	32990	13409
711	33033	13361
712	33085	13317
713	33129	13270
714	33174	13223
715	33219	13176
716	33262	13128
717	33304	13080
718	33341	13030
719	33385	12983
720	33425	12934
721	33472	12888
722	33520	12842
723	33568	12796
724	33622	12753
725	33663	12705
726	33702	12655
727	33752	12610
728	33799	12564
729	33845	12518
730	33904	12476
731	33953	12431
732	33996	12383
733	34037	12335
734	34078	12286
735	34119	12238
736	34160	12190
737	34201	12142
738	34256	12098
739	34303	12052
740	34351	12006
741	34400	11961
742	34447	11915
743	34494	11869
744	34537	11821
745	34581	11774
746	34624	11726
747	34672	11681
748	34717	11634
749	34768	11589
750	34816	11543
751	34864	11497
752	34914	11452
753	34959	11405
754	35001	11358
755	35036	11308
756	35093	11265
757	35151	11222
758	35204	11178
759	35245	11130
760	35289	11082
761	35330	11035
762	35371	10987
763	35415	10939
764	35454	10891
765	35497	10843
766	35546	10798
767	35596	10753
768	35646	10707
769	35691	10661
770	35739	10615
771	35787	10569
772	35837	10523
773	35880	10476
774	35928	10430
775	35974	10384
776	36038	10343
777	36089	10298
778	36135	10251
779	36189	10207
780	36246	10163
781	36298	10119
782	36337	10070
783	36384	10024
784	36437	9979
785	36493	9935
786	36542	9890
787	36591	9844
788	36635	9797
789	36677	9749
790	36722	9703
791	36764	9655
792	36809	9608
793	36862	9563
794	36916	9519
795	36961	9472
796	37016	9428
797	37065	9382
798	37106	9334
799	37145	9286
800	37192	9239
801	37239	9193
802	37287	9147
803	37330	9100
804	37375	9053
805	37418	9006
806	37462	8959
807	37509	8913
808	37553	8866
809	37598	8819
810	37635	8770
811	37678	8723
812	37718	8675
813	37759	8628
814	37803	8581
815	37846	8533
816	37899	8489
817	37957	8445
818	38011	8400
819	38058	8354
820	38091	8305
821	38133	8257
822	38180	8211
823	38230	8165
824	38272	8118
825	38329	8074
826	38371	8026
827	38418	7980
828	38456	7932
829	38506	7886
830	38544	7838
831	38611	7796
832	38666	7751
833	38717	7706
834	38761	7659
835	38813	7614
836	38858	7567
837	38907	7521
838	38950	7474
839	39000	7428
840	39049	7382
841	39103	7337
842	39147	7290
843	39178	7241
844	39238	7197
845	39277	7149
846	39323	7103
847	39372	7057
848	39413	7009
849	39450	6961
850	39502	6916
851	39544	6869
852	39587	6822
853	39638	6776
854	39689	6731
855	39731	6683
856	39771	6636
857	39826	6591
858	39868	6544
859	39916	6498
860	39964	6451
861	40012	6405
862	40062	6359
863	40105	6312
864	40151	6266
865	40201	6220
866	40251	6174
867	40298	6128
868	40353	6083
869	40400	6036
870	40451	5991
871	40505	5945
872	40551	5899
873	40604	5853
874	40670	5810
875	40722	5764
876	40774	5718
877	40820	5672
878	40872	5626
879	40928	5581
880	40983	5535
881	41041	5490
882	41082	5443
883	41135	5397
884	41192	5352
885	41237	5305
886	41285	5259
887	41329	5212
888	41375	5166
889	41424	5119
890	41478	5074
891	41540	5029
892	41595	4983
893	41636	4936
894	41679	4889
895	41729	4843
896	41783	4797
897	41839	4752
898	41891	4706
899	41942	4660
900	41983	4613
901	42038	4567
902	42082	4520
903	42123	4473
904	42165	4426
905	42222	4380
906	42260	4333
907	42302	4286
908	42338	4238
909	42379	4191
910	42425	4144
911	42476	4098
912	42531	4052
913	42578	4006
914	42621	3959
915	42675	3913
916	42722	3866
917	42762	3819
918	42802	3772
919	42856	3726
920	42898	3679
921	42937	3632
922	42982	3585
923	43022	3538
924	43068	3492
925	43108	3444
926	43153	3398
927	43203	3351
928	43250	3305
929	43302	3259
930	43357	3213
931	43402	3166
932	43449	3120
933	43493	3073
934	43542	3027
935	43593	2980
936	43645	2934
937	43697	2888
938	43750	2842
939	43795	2795
940	43843	2748
941	43892	2702
942	43940	2656
943	43989	2609
944	44035	2562
945	44074	2515
946	44120	2469
947	44175	2423
948	44222	2376
949	44268	2329
950	44307	2282
951	44355	2236
952	44395	2189
953	44436	2142
954	44497	2096
955	44552	2050
956	44596	2003
957	44655	1957
958	44698	1910
959	44744	1864
960	44793	1817
961	44859	1771
962	44909	1725
963	44951	1678
964	45003	1632
965	45051	1585
966	45092	1538
967	45133	1492
968	45176	1445
969	45218	1398
970	45262	1351
971	45306	1305
972	45356	1258
973	45399	1211
974	45446	1165
975	45501	1118
976	45552	1072
977	45595	1025
978	45643	979
979	45689	932
980	45731	885
981	45777	839
982	45828	792
983	45873	745
984	45908	699
985	45954	652
986	45996	605
987	46041	559
988	46090	512
989	46135	466
990	46190	419
991	46233	372
992	46279	326
993	46321	279
994	46367	233
995	46415	186
996	46456	139
997	46508	93
998	46551	46
999	46588	0
